city,date,temp,feels_like,humidity,wind_speed,timestamp
Los Angeles,2021-02-04,62.51,62.28,81,13.8,1763404730
New York,2021-02-04,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-04,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-05,62.51,62.28,81,13.8,1763404730
New York,2021-02-05,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-05,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-06,62.51,62.28,81,13.8,1763404730
New York,2021-02-06,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-06,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-07,62.51,62.28,81,13.8,1763404730
New York,2021-02-07,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-07,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-08,62.51,62.28,81,13.8,1763404730
New York,2021-02-08,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-08,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-09,62.51,62.28,81,13.8,1763404730
New York,2021-02-09,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-09,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-10,62.51,62.28,81,13.8,1763404730
New York,2021-02-10,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-10,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-11,62.51,62.28,81,13.8,1763404730
New York,2021-02-11,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-11,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-12,62.51,62.28,81,13.8,1763404730
New York,2021-02-12,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-12,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-13,62.51,62.28,81,13.8,1763404730
New York,2021-02-13,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-13,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-14,62.51,62.28,81,13.8,1763404730
New York,2021-02-14,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-14,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-15,62.51,62.28,81,13.8,1763404730
New York,2021-02-15,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-15,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-16,62.51,62.28,81,13.8,1763404730
New York,2021-02-16,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-16,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-17,62.51,62.28,81,13.8,1763404730
New York,2021-02-17,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-17,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-18,62.51,62.28,81,13.8,1763404730
New York,2021-02-18,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-18,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-19,62.51,62.28,81,13.8,1763404730
New York,2021-02-19,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-19,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-20,62.51,62.28,81,13.8,1763404730
New York,2021-02-20,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-20,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-21,62.51,62.28,81,13.8,1763404730
New York,2021-02-21,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-21,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-22,62.51,62.28,81,13.8,1763404730
New York,2021-02-22,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-22,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-23,62.51,62.28,81,13.8,1763404730
New York,2021-02-23,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-23,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-24,62.51,62.28,81,13.8,1763404730
New York,2021-02-24,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-24,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-25,62.51,62.28,81,13.8,1763404730
New York,2021-02-25,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-25,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-26,62.51,62.28,81,13.8,1763404730
New York,2021-02-26,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-26,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-27,62.51,62.28,81,13.8,1763404730
New York,2021-02-27,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-27,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-02-28,62.51,62.28,81,13.8,1763404730
New York,2021-02-28,43.86,34.2,42,27.0,1763404799
Tampa,2021-02-28,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-01,62.51,62.28,81,13.8,1763404730
New York,2021-03-01,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-01,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-02,62.51,62.28,81,13.8,1763404730
New York,2021-03-02,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-02,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-03,62.51,62.28,81,13.8,1763404730
New York,2021-03-03,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-03,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-04,62.51,62.28,81,13.8,1763404730
New York,2021-03-04,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-04,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-05,62.51,62.28,81,13.8,1763404730
New York,2021-03-05,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-05,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-06,62.51,62.28,81,13.8,1763404730
New York,2021-03-06,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-06,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-07,62.51,62.28,81,13.8,1763404730
New York,2021-03-07,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-07,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-08,62.51,62.28,81,13.8,1763404730
New York,2021-03-08,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-08,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-09,62.51,62.28,81,13.8,1763404730
New York,2021-03-09,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-09,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-10,62.51,62.28,81,13.8,1763404730
New York,2021-03-10,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-10,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-11,62.51,62.28,81,13.8,1763404730
New York,2021-03-11,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-11,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-12,62.51,62.28,81,13.8,1763404730
New York,2021-03-12,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-12,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-13,62.51,62.28,81,13.8,1763404730
New York,2021-03-13,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-13,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-14,62.51,62.28,81,13.8,1763404730
New York,2021-03-14,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-14,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-15,62.51,62.28,81,13.8,1763404730
New York,2021-03-15,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-15,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-16,62.51,62.28,81,13.8,1763404730
New York,2021-03-16,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-16,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-17,62.51,62.28,81,13.8,1763404730
New York,2021-03-17,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-17,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-18,62.51,62.28,81,13.8,1763404730
New York,2021-03-18,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-18,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-19,62.51,62.28,81,13.8,1763404730
New York,2021-03-19,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-19,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-20,62.51,62.28,81,13.8,1763404730
New York,2021-03-20,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-20,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-21,62.51,62.28,81,13.8,1763404730
New York,2021-03-21,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-21,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-22,62.51,62.28,81,13.8,1763404730
New York,2021-03-22,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-22,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-23,62.51,62.28,81,13.8,1763404730
New York,2021-03-23,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-23,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-24,62.51,62.28,81,13.8,1763404730
New York,2021-03-24,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-24,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-25,62.51,62.28,81,13.8,1763404730
New York,2021-03-25,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-25,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-26,62.51,62.28,81,13.8,1763404730
New York,2021-03-26,43.86,34.2,42,27.0,1763404799
Tampa,2021-03-26,79.7,79.7,67,8.05,1763404531
Los Angeles,2021-03-27,62.51,62.28,81,13.8,1763404730
